Accepted intervals:
Rejected intervals:
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.589073296875001] ; [0.5536812500000005, 0.6901295468750007] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.514026733593751] ; [0.6901295468750006, 0.7651761101562507] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.51402673359375, 2.589073296875001] ; [0.6901295468750006, 0.7651761101562507] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.589073296875001] ; [0.7651761101562506, 0.8568996875000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.589073296875, 2.755843437500002] ; [0.5536812500000005, 0.8568996875000006] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.452625, 2.755843437500002] ; [0.8568996875000005, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [2.755843437500001, 3.126443750000001] ; [0.5536812500000005, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [3.12644375, 3.950000000000001] ; [0.00237500000000046, 1.227500000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2275, 1.475587812500001] ; [1.2275, 1.778806250000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.4755878125, 1.778806250000001] ; [1.2275, 1.475587812500001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.4755878125, 1.612036109375001] ; [1.4755878125, 1.612036109375001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.4755878125, 1.536989546093752] ; [1.612036109375, 1.687082672656251] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.612036109375, 1.687082672656251] ; [1.4755878125, 1.536989546093752] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2275, 1.778806250000001] ; [1.77880625, 2.452625000000001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 1.915254546875002] ; [1.2275, 1.339139515625001] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.77880625, 1.840207983593752] ; [1.339139515625, 1.400541249218752] ; [-0.05000000000000001, 0.05000000000000001])
([-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.2, 1.300000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [-0.05000000000000001, 0.05000000000000001] ; [1.915254546875001, 1.990301110156252] ; [1.2275, 1.277737782031251] ; [-0.05000000000000001, 0.05000000000000001])
